restaurant_name,amenity_type,address,city,district,province,cuisine_type,phone,website,opening_hours,halal,vegetarian_friendly,latitude,longitude,osm_id,nearby_attractions,google_maps_link,image_url_1,image_url_2,image_url_3,image_url
Sayurima,Restaurant,"Ahangama, Sri Lanka",Ahangama,Galle,Southern Province,Sri Lankan,,,,,,5.965234,80.38065,1640241534.0,Ahangama Beach; Galle Fort; Unawatuna Beach,"https://www.google.com/maps/search/?api=1&query=Sayurima&query_place_id=&center=5.965234,80.38065",https://images.pexels.com/photos/3146186/pexels-photo-3146186.jpeg?auto=compress&cs=tinysrgb&w=800&h=600&fit=crop,https://images.pexels.com/photos/28490851/pexels-photo-28490851.jpeg?auto=compress&cs=tinysrgb&w=600&h=600&fit=crop,https://images.pexels.com/photos/10294337/pexels-photo-10294337.jpeg?auto=compress&cs=tinysrgb&w=600&h=600&fit=crop,https://images.pexels.com/photos/11481550/pexels-photo-11481550.jpeg?auto=compress&cs=tinysrgb&w=600&h=600&fit=crop
Laguna,Café,"Ahangama, Sri Lanka",Ahangama,Galle,Southern Province,Seafood,,,,,,5.986055,80.327623,4257027491.0,Ahangama Beach; Galle Fort; Unawatuna Beach,"https://www.google.com/maps/search/?api=1&query=Laguna&query_place_id=&center=5.986055,80.327623",https://images.pexels.com/photos/5868636/pexels-photo-5868636.jpeg?auto=compress&cs=tinysrgb&w=800&h=600&fit=crop,https://images.pexels.com/photos/30614072/pexels-photo-30614072.jpeg?auto=compress&cs=tinysrgb&w=600&h=600&fit=crop,https://images.pexels.com/photos/29845005/pexels-photo-29845005.jpeg?auto=compress&cs=tinysrgb&w=600&h=600&fit=crop,https://images.pexels.com/photos/31213434/pexels-photo-31213434.jpeg?auto=compress&cs=tinysrgb&w=600&h=600&fit=crop
Crust Pizza Ahangama,Restaurant,"Ahangama, Sri Lanka",Ahangama,Galle,Southern Province,Sri Lankan,,,,,,5.972764,80.363522,5273092430.0,Ahangama Beach; Galle Fort; Unawatuna Beach,"https://www.google.com/maps/search/?api=1&query=Crust%20Pizza%20Ahangama&query_place_id=&center=5.972764,80.363522",https://images.pexels.com/photos/1895032/pexels-photo-1895032.jpeg?auto=compress&cs=tinysrgb&w=800&h=600&fit=crop,https://images.pexels.com/photos/30805565/pexels-photo-30805565.jpeg?auto=compress&cs=tinysrgb&w=600&h=600&fit=crop,https://images.pexels.com/photos/5959154/pexels-photo-5959154.jpeg?auto=compress&cs=tinysrgb&w=600&h=600&fit=crop,https://images.pexels.com/photos/30726122/pexels-photo-30726122.jpeg?auto=compress&cs=tinysrgb&w=600&h=600&fit=crop
Surfing Wombats,Restaurant,"Ahangama, Sri Lanka",Ahangama,Galle,Southern Province,Italian,,https://www.surfingwombats.com/food/,"Mo-Su 08:30-14:30, 18:00-23:00",,,5.966297,80.391633,6265936986.0,Ahangama Beach; Galle Fort; Unawatuna Beach,"https://www.google.com/maps/search/?api=1&query=Surfing%20Wombats&query_place_id=&center=5.966297,80.391633",https://images.pexels.com/photos/7362052/pexels-photo-7362052.jpeg?auto=compress&cs=tinysrgb&w=800&h=600&fit=crop,https://images.pexels.com/photos/29889195/pexels-photo-29889195.jpeg?auto=compress&cs=tinysrgb&w=600&h=600&fit=crop,https://images.pexels.com/photos/5394500/pexels-photo-5394500.jpeg?auto=compress&cs=tinysrgb&w=600&h=600&fit=crop,https://images.pexels.com/photos/32163936/pexels-photo-32163936.jpeg?auto=compress&cs=tinysrgb&w=600&h=600&fit=crop
Driftwood Midigama Beach,Restaurant,"Ahangama, Sri Lanka",Ahangama,Galle,Southern Province,International,,,,,,5.963077,80.393683,7249286885.0,Ahangama Beach; Galle Fort; Unawatuna Beach,"https://www.google.com/maps/search/?api=1&query=Driftwood%20Midigama%20Beach&query_place_id=&center=5.963077,80.393683",https://images.pexels.com/photos/6877613/pexels-photo-6877613.jpeg?auto=compress&cs=tinysrgb&w=800&h=600&fit=crop,https://images.pexels.com/photos/30496793/pexels-photo-30496793.jpeg?auto=compress&cs=tinysrgb&w=600&h=600&fit=crop,https://images.pexels.com/photos/10877309/pexels-photo-10877309.jpeg?auto=compress&cs=tinysrgb&w=600&h=600&fit=crop,https://images.pexels.com/photos/27115002/pexels-photo-27115002.jpeg?auto=compress&cs=tinysrgb&w=600&h=600&fit=crop
The Jam House,Restaurant,"Ahangama, 245 a, Colombo -Matara Road",Ahangama,Galle,Southern Province,Western,+94912281998,,Tuesday-Sunday 10:00-22:00,,,5.967921,80.373649,11027695210.0,Ahangama Beach; Galle Fort; Unawatuna Beach,"https://www.google.com/maps/search/?api=1&query=The%20Jam%20House&query_place_id=&center=5.967921,80.373649",https://images.pexels.com/photos/5863646/pexels-photo-5863646.jpeg?auto=compress&cs=tinysrgb&w=800&h=600&fit=crop,https://images.pexels.com/photos/32255675/pexels-photo-32255675.jpeg?auto=compress&cs=tinysrgb&w=600&h=600&fit=crop,https://images.pexels.com/photos/32399761/pexels-photo-32399761.jpeg?auto=compress&cs=tinysrgb&w=600&h=600&fit=crop,https://images.pexels.com/photos/35065203/pexels-photo-35065203.jpeg?auto=compress&cs=tinysrgb&w=600&h=600&fit=crop
Mermaid's Kitchen Ahangama,Restaurant,"Ahangama, Sri Lanka",Ahangama,Galle,Southern Province,Sri Lankan,,,Mo-Su 09:30-22:00,,,5.970247,80.367288,12697915401.0,Ahangama Beach; Galle Fort; Unawatuna Beach,"https://www.google.com/maps/search/?api=1&query=Mermaid%27s%20Kitchen%20Ahangama&query_place_id=&center=5.970247,80.367288",https://images.pexels.com/photos/36411363/pexels-photo-36411363.jpeg?auto=compress&cs=tinysrgb&w=800&h=600&fit=crop,https://images.pexels.com/photos/29033379/pexels-photo-29033379.jpeg?auto=compress&cs=tinysrgb&w=600&h=600&fit=crop,https://images.pexels.com/photos/20291130/pexels-photo-20291130.jpeg?auto=compress&cs=tinysrgb&w=600&h=600&fit=crop,https://images.pexels.com/photos/18379889/pexels-photo-18379889.jpeg?auto=compress&cs=tinysrgb&w=600&h=600&fit=crop
Chameleon Ahangama,Café,"Ahangama, Sri Lanka",Ahangama,Galle,Southern Province,Sri Lankan,,,Fr-We 07:00-15:00,,,5.969083,80.37061,12698215501.0,Ahangama Beach; Galle Fort; Unawatuna Beach,"https://www.google.com/maps/search/?api=1&query=Chameleon%20Ahangama&query_place_id=&center=5.969083,80.37061",https://images.pexels.com/photos/7237170/pexels-photo-7237170.jpeg?auto=compress&cs=tinysrgb&w=800&h=600&fit=crop,https://images.pexels.com/photos/31968846/pexels-photo-31968846.jpeg?auto=compress&cs=tinysrgb&w=600&h=600&fit=crop,https://images.pexels.com/photos/32255668/pexels-photo-32255668.jpeg?auto=compress&cs=tinysrgb&w=600&h=600&fit=crop,https://images.pexels.com/photos/19286477/pexels-photo-19286477.jpeg?auto=compress&cs=tinysrgb&w=600&h=600&fit=crop
Samba Ahangama,Restaurant,"A2, Southern Beach Road",Ahangama,Galle,Southern Province,Sri Lankan,,,Mo-Su 07:30-21:00,,,5.968169,80.373377,12700960701.0,Ahangama Beach; Galle Fort; Unawatuna Beach,"https://www.google.com/maps/search/?api=1&query=Samba%20Ahangama&query_place_id=&center=5.968169,80.373377",https://images.pexels.com/photos/6130063/pexels-photo-6130063.jpeg?auto=compress&cs=tinysrgb&w=800&h=600&fit=crop,https://images.pexels.com/photos/29033148/pexels-photo-29033148.jpeg?auto=compress&cs=tinysrgb&w=600&h=600&fit=crop,https://images.pexels.com/photos/9703895/pexels-photo-9703895.jpeg?auto=compress&cs=tinysrgb&w=600&h=600&fit=crop,https://images.pexels.com/photos/33427661/pexels-photo-33427661.jpeg?auto=compress&cs=tinysrgb&w=600&h=600&fit=crop
Koffi Ahangama,Café,Colombo -Matara Road,Ahangama,Galle,Southern Province,Sri Lankan,,,Mo-Su 06:30-18:30,,,5.968941,80.370602,12701593801.0,Ahangama Beach; Galle Fort; Unawatuna Beach,"https://www.google.com/maps/search/?api=1&query=Koffi%20Ahangama&query_place_id=&center=5.968941,80.370602",https://images.pexels.com/photos/3873899/pexels-photo-3873899.jpeg?auto=compress&cs=tinysrgb&w=800&h=600&fit=crop,https://images.pexels.com/photos/29415843/pexels-photo-29415843.jpeg?auto=compress&cs=tinysrgb&w=600&h=600&fit=crop,https://images.pexels.com/photos/29394565/pexels-photo-29394565.jpeg?auto=compress&cs=tinysrgb&w=600&h=600&fit=crop,https://images.pexels.com/photos/36577748/pexels-photo-36577748.jpeg?auto=compress&cs=tinysrgb&w=600&h=600&fit=crop
